timestamp,product,price,target
2026-08-19T08:00:00,Sony WH-1000XM5 headphones,348.9,299
2026-08-19T20:00:00,Sony WH-1000XM5 headphones,348.07,299
2026-08-20T08:00:00,Sony WH-1000XM5 headphones,345.4,299
2026-08-20T20:00:00,Sony WH-1000XM5 headphones,344.04,299
2026-08-21T08:00:00,Sony WH-1000XM5 headphones,341.06,299
2026-08-21T20:00:00,Sony WH-1000XM5 headphones,341.24,299
2026-08-22T08:00:00,Sony WH-1000XM5 headphones,345.26,299
2026-08-22T20:00:00,Sony WH-1000XM5 headphones,343.79,299
2026-08-23T08:00:00,Sony WH-1000XM5 headphones,341.93,299
2026-08-23T20:00:00,Sony WH-1000XM5 headphones,343.4,299
2026-08-24T08:00:00,Sony WH-1000XM5 headphones,344.47,299
2026-08-24T20:00:00,Sony WH-1000XM5 headphones,344.78,299
2026-08-25T08:00:00,Sony WH-1000XM5 headphones,341.99,299
2026-08-25T20:00:00,Sony WH-1000XM5 headphones,341.9,299
2026-08-26T08:00:00,Sony WH-1000XM5 headphones,343.99,299
2026-08-26T20:00:00,Sony WH-1000XM5 headphones,339.96,299
2026-08-27T08:00:00,Sony WH-1000XM5 headphones,338.58,299
2026-08-27T20:00:00,Sony WH-1000XM5 headphones,332.88,299
2026-08-28T08:00:00,Sony WH-1000XM5 headphones,329.01,299
2026-08-28T20:00:00,Sony WH-1000XM5 headphones,323.49,299
2026-08-29T08:00:00,Sony WH-1000XM5 headphones,322.78,299
2026-08-29T20:00:00,Sony WH-1000XM5 headphones,318.98,299
2026-08-30T08:00:00,Sony WH-1000XM5 headphones,319.79,299
2026-08-30T20:00:00,Sony WH-1000XM5 headphones,266.07,299
2026-08-31T08:00:00,Sony WH-1000XM5 headphones,258.52,299
2026-08-31T20:00:00,Sony WH-1000XM5 headphones,256.9,299
2026-09-01T08:00:00,Sony WH-1000XM5 headphones,256.76,299
2026-09-01T20:00:00,Sony WH-1000XM5 headphones,257.1,299
2026-08-19T08:00:00,Dyson V11 vacuum,594.41,499
2026-08-19T20:00:00,Dyson V11 vacuum,592.98,499
2026-08-20T08:00:00,Dyson V11 vacuum,590.04,499
2026-08-20T20:00:00,Dyson V11 vacuum,587.61,499
2026-08-21T08:00:00,Dyson V11 vacuum,590.8,499
2026-08-21T20:00:00,Dyson V11 vacuum,588.37,499
2026-08-22T08:00:00,Dyson V11 vacuum,588.28,499
2026-08-22T20:00:00,Dyson V11 vacuum,590.93,499
2026-08-23T08:00:00,Dyson V11 vacuum,589.18,499
2026-08-23T20:00:00,Dyson V11 vacuum,588.84,499
2026-08-24T08:00:00,Dyson V11 vacuum,589.18,499
2026-08-24T20:00:00,Dyson V11 vacuum,589.37,499
2026-08-25T08:00:00,Dyson V11 vacuum,585.69,499
2026-08-25T20:00:00,Dyson V11 vacuum,585.92,499
2026-08-26T08:00:00,Dyson V11 vacuum,590.0,499
2026-08-26T20:00:00,Dyson V11 vacuum,585.36,499
